"Population estimates, July 1, 2019,  (V2019),","Population estimates base, April 1, 2010,  (V2019),","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019),","Population, Census, April 1, 2010,","Persons under 5 years, percent,","Persons under 18 years, percent,","Persons 65 years and over, percent,","Female persons, percent,","White alone, percent,","Black or African American alone, percent,","American Indian and Alaska Native alone, percent,","Asian alone, percent,","Native Hawaiian and Other Pacific Islander alone, percent,","Two or More Races, percent,","Hispanic or Latino, percent,","White alone, not Hispanic or Latino, percent,","Veterans, 2014-2018,","Foreign born persons, percent, 2014-2018,","Housing units,  July 1, 2019,  (V2019),","Owner-occupied housing unit rate, 2014-2018,","Median value of owner-occupied housing units, 2014-2018,","Median selected monthly owner costs -with a mortgage, 2014-2018,","Median selected monthly owner costs -without a mortgage, 2014-2018,","Median gross rent, 2014-2018,","Building permits, 2019,","Households, 2014-2018,","Persons per household, 2014-2018,","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018,","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018,","Households with a computer, percent, 2014-2018,","Households with a broadband Internet subscription, percent, 2014-2018,","High school graduate or higher, percent of persons age 25 years+, 2014-2018,","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018,","With a disability, under age 65 years, percent, 2014-2018,","Persons  without health insurance, under age 65 years, percent,","In civilian labor force, total, percent of population age 16 years+, 2014-2018,","In civilian labor force, female, percent of population age 16 years+, 2014-2018,","Total accommodation and food services sales, 2012 ($1,000),","Total health care and social assistance receipts/revenue, 2012 ($1,000),","Total manufacturers shipments, 2012 ($1,000),","Total merchant wholesaler sales, 2012 ($1,000),","Total retail sales, 2012 ($1,000),","Total retail sales per capita, 2012,","Mean travel time to work (minutes), workers age 16 years+, 2014-2018,","Median household income (in 2018 dollars), 2014-2018,","Per capita income in past 12 months (in 2018 dollars), 2014-2018,","Persons in poverty, percent,","Total employer establishments, 2018,","Total employment, 2018,","Total annual payroll, 2018 ($1,000),","Total employment, percent change, 2017-2018,","Total nonemployer establishments, 2018,","All firms, 2012,","Men-owned firms, 2012,","Women-owned firms, 2012,","Minority-owned firms, 2012,","Nonminority-owned firms, 2012,","Veteran-owned firms, 2012,","Nonveteran-owned firms, 2012,","Population per square mile, 2010,","Land area in square miles, 2010,"
"15,911","15,028","5.9","14,973","5.8","21.0","21.2","51.5","78.7","18.5","0.3","0.4","0.1","2.0","1.9","77.1","1,358","1.2","7,424","77.7","155,300","1,079","337","723","78","6,095","2.54","94.6","1.2","77.1","65.5","84.1","19.8","12.6","11.8","57.5","54.7","","","","9,911","143,824","9,507","30.3","56,176","26,890","13.5","292","2,359","64,034","-3.6","959","962","616","253","117","796","80","806","44.9","333.49"
"31,605","32,354","-2.3","32,353","5.2","19.3","21.6","51.4","76.9","19.1","0.9","0.6","","2.5","2.4","74.9","2,524","1.7","14,266","77.6","153,300","1,138","330","741","47","12,044","2.56","87.7","3.5","78.3","65.1","85.2","19.2","10.5","12.1","58.6","55.9","","","572,023","","273,370","8,442","25.0","49,170","24,343","13.0","574","6,082","223,325","-8.1","1,599","2,117","1,094","810","397","1,634","185","1,819","68.3","473.93"
"13,145","12,695","3.5","12,690","5.5","20.8","20.1","50.7","76.5","20.4","0.6","0.6","","1.8","3.2","74.0","970","1.0","5,677","84.3","204,400","1,337","357","808","54","4,789","2.66","89.8","3.1","85.8","75.1","83.5","15.9","9.9","13.6","61.7","56.8","5,047","21,569","98,420","","71,057","5,569","38.6","58,526","29,114","9.9","279","1,945","60,953","-3.3","870","893","444","335","159","695","69","778","35.7","355.27"
"14,860","16,264","-8.6","16,250","4.4","18.3","25.5","51.1","92.8","4.7","0.3","0.3","0.1","1.9","1.6","91.4","1,093","1.0","8,010","77.7","116,500","969","362","676","14","6,741","2.22","89.7","1.5","79.2","67.2","85.6","15.4","13.9","10.4","50.0","44.9","14,048","85,719","","7,653","75,144","4,630","24.2","47,794","26,918","14.8","247","2,502","80,381","-0.2","644","893","596","189","38","821","104","754","36.5","445.46"
"109,330","98,998","10.4","98,970","5.2","19.7","19.3","52.1","81.8","9.7","0.4","5.5","0.1","2.6","5.8","76.9","6,503","10.8","47,081","62.5","344,500","1,817","513","1,244","948","40,612","2.43","80.1","11.7","92.9","84.6","91.4","53.5","5.3","9.7","61.5","58.1","230,570","950,075","786,381","574,521","1,497,509","14,645","21.7","75,394","42,085","8.7","2,841","42,339","2,068,853","1.7","9,931","11,062","5,716","3,967","1,236","9,370","1,306","8,936","137.3","720.70"
"32,316","33,162","-2.6","33,164","5.6","20.7","24.6","51.3","67.8","28.8","0.7","0.8","0.2","1.7","9.1","59.9","2,700","6.4","21,319","67.9","165,000","1,165","388","797","81","13,401","2.36","93.5","10.5","79.2","63.8","81.3","18.5","8.3","17.0","54.1","48.2","53,568","62,723","667,932","78,932","348,195","10,443","21.8","43,210","24,355","17.3","725","8,809","280,559","2.1","2,387","2,997","1,716","802","335","2,560","212","2,536","73.8","449.50"
"33,419","33,152","0.8","33,148","4.2","18.9","23.3","50.3","94.1","3.3","0.3","0.8","","1.5","1.8","92.7","2,887","2.8","15,025","86.3","225,200","1,475","377","890","105","13,161","2.50","88.6","3.0","87.3","76.1","92.6","28.7","9.8","8.1","59.9","54.2","","","811,959","","321,378","9,693","28.3","68,410","33,983","7.4","747","10,216","466,631","0.7","2,351","2,597","1,606","743","176","2,352","283","2,232","61.2","541.20"
"6,280","6,824","-8.0","6,824","3.9","15.0","23.6","45.2","94.3","4.0","0.2","0.6","","1.0","1.0","93.4","421","0.4","3,356","82.7","102,400","1,040","295","663","24","2,523","2.26","87.2","1.6","81.3","71.9","91.5","17.4","10.9","9.2","49.5","51.2","2,286","7,619","","","33,844","5,023","28.8","50,511","24,275","14.1","73","1,296","68,547","-7.2","260","332","255","63","","315","43","227","19.1","357.73"
"78,997","74,929","5.4","68,676","4.6","19.7","21.8","50.8","89.6","7.2","0.4","1.2","","1.6","2.4","87.6","6,517","2.8","37,040","81.6","200,500","1,300","347","852","53","31,206","2.48","87.4","4.1","85.0","74.6","89.8","28.9","9.6","10.3","60.0","54.6","28,890","82,397","","265,148","521,240","7,490","27.2","61,541","31,796","10.4","1,726","16,305","621,971","4.7","5,506","4,688","2,592","1,385","311","4,257","567","3,799","91.2","753.02"
"4,147","4,727","-12.3","4,731","4.1","15.1","28.0","49.4","92.9","4.8","0.2","0.5","0.0","1.5","2.2","91.1","260","1.8","3,300","72.2","151,500","892","372","485","9","1,999","2.11","90.8","1.6","79.2","62.9","87.2","14.9","11.4","12.6","61.1","61.5","63,467","","","","17,227","3,703","25.6","46,137","29,127","10.7","120","1,889","69,297","-9.3","355","402","210","136","","371","79","294","8.9","529.16"
